MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Neighborhood_nan,CentralAir_N,CentralAir_Y,CentralAir_nan,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleType_nan
60,3,85.0,11924,1,0,4,9,5,2005,2006,286.0,0,4,2,0,3,3,998,0,177,1175,1,1182,1142,0,2324,1,0,3,0,4,1,0,11,2,2,2005.0,0,3,736,4,147,21,0,0,0,0,0,7,2006,5,345000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,3,69.0,12968,1,1,4,5,6,1962,1962,0.0,3,4,1,3,3,3,737,0,175,912,1,912,0,0,912,1,0,1,0,2,1,3,4,0,5,1962.0,2,1,352,4,140,0,0,0,176,0,0,9,2008,4,144000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,91.0,10652,1,0,4,7,5,2006,2007,306.0,2,4,2,2,3,0,0,0,1494,1494,1,1494,0,0,1494,0,0,2,0,3,1,2,7,1,2,2006.0,1,3,840,4,160,33,0,0,0,0,0,8,2007,5,279500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,3,69.0,10920,1,0,0,6,5,1960,1960,212.0,3,4,1,3,3,3,733,0,520,1253,1,1253,0,0,1253,1,0,1,1,2,1,3,5,1,1,1960.0,1,1,352,4,0,213,176,0,0,0,0,5,2008,4,157000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
45,4,51.0,6120,1,3,0,7,8,1929,2001,0.0,3,4,0,3,3,3,0,0,832,832,1,854,0,0,854,0,0,1,0,2,1,3,5,0,5,1991.0,2,2,576,4,48,112,0,0,0,0,0,7,2007,4,132000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,69.0,11241,1,0,1,6,7,1970,1970,180.0,3,4,1,3,3,3,578,0,426,1004,1,1004,0,0,1004,1,0,1,0,2,1,3,5,1,4,1970.0,0,2,480,4,0,0,0,0,0,0,700,3,2010,4,149000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
90,3,72.0,10791,1,3,4,4,5,1967,1967,0.0,3,4,3,4,4,4,0,0,0,0,1,1296,0,0,1296,0,0,2,0,2,2,3,6,0,5,1967.0,2,2,516,4,0,0,0,0,0,0,500,10,2006,4,90000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,66.0,13695,1,3,4,5,5,2004,2004,0.0,3,4,2,3,3,3,646,0,468,1114,1,1114,0,0,1114,1,0,1,1,3,1,2,6,0,5,2004.0,2,2,576,4,0,102,0,0,0,0,0,6,2008,4,159000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,70.0,7560,1,3,4,5,6,1958,1965,0.0,3,4,1,3,3,3,504,0,525,1029,1,1339,0,0,1339,0,0,1,0,3,1,3,6,0,5,1958.0,2,1,294,4,0,0,0,0,0,0,0,5,2009,0,139000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
60,3,101.0,14215,1,0,0,8,5,2005,2006,380.0,2,4,2,0,3,0,0,0,1158,1158,1,1158,1218,0,2376,0,0,3,1,4,1,2,9,1,2,2005.0,1,3,853,4,240,154,0,0,0,0,0,11,2006,5,325300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
45,4,57.0,7449,1,3,4,7,7,1930,1950,0.0,3,4,2,3,3,3,0,0,637,637,1,1108,0,0,1108,0,0,1,0,3,1,2,6,1,2,1930.0,2,1,280,4,0,0,205,0,0,0,0,6,2007,4,139400,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,75.0,9742,1,3,4,8,5,2002,2002,281.0,2,4,2,2,3,3,0,0,1777,1777,1,1795,0,0,1795,0,0,2,0,3,1,2,7,1,2,2002.0,1,2,534,4,171,159,0,0,0,0,0,9,2008,4,230000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
120,4,44.0,4224,1,3,4,5,7,1976,1976,0.0,3,4,2,2,3,3,840,0,200,1040,1,1060,0,0,1060,1,0,1,0,3,1,3,6,1,4,1976.0,2,2,572,4,100,110,0,0,0,0,0,6,2007,4,129900,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,69.0,8246,1,0,4,5,8,1968,2001,0.0,3,2,1,3,3,2,188,668,204,1060,1,1060,0,0,1060,1,0,1,0,3,1,2,6,1,4,1968.0,2,1,270,4,406,90,0,0,0,0,0,5,2010,4,154000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,110.0,14230,1,3,0,8,5,2007,2007,640.0,2,4,2,2,3,3,0,0,1566,1566,1,1600,0,0,1600,0,0,2,0,3,1,2,7,1,2,2007.0,1,3,890,4,0,56,0,0,0,0,0,7,2009,4,256300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,60.0,7200,1,3,0,5,7,1951,2000,0.0,3,4,1,3,3,2,234,486,180,900,1,900,0,0,900,0,1,1,0,3,1,2,5,0,5,2005.0,2,2,576,4,222,32,0,0,0,0,0,5,2010,4,134800,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,98.0,11478,1,3,4,8,5,2007,2008,200.0,2,4,2,0,3,3,1218,0,486,1704,1,1704,0,0,1704,1,0,2,0,3,1,2,7,1,2,2008.0,1,3,772,4,0,50,0,0,0,0,0,5,2010,4,306000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,47.0,16321,1,0,1,5,6,1957,1997,0.0,3,4,1,3,3,1,1277,0,207,1484,1,1600,0,0,1600,1,0,1,0,2,1,3,6,2,2,1957.0,1,1,319,4,288,258,0,0,0,0,0,12,2006,4,207500,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
30,4,60.0,6324,1,0,4,4,6,1927,1950,0.0,3,4,0,3,3,3,0,0,520,520,1,520,0,0,520,0,0,1,0,1,1,1,4,0,5,1920.0,2,1,240,1,49,0,87,0,0,0,0,5,2008,4,68500,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
70,0,50.0,8500,1,3,4,4,4,1920,1950,0.0,3,1,0,3,3,3,0,0,649,649,1,649,668,0,1317,0,0,1,0,3,1,3,6,0,5,1920.0,2,1,250,4,0,54,172,0,0,0,0,7,2008,4,40000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
20,3,69.0,8544,1,0,1,5,6,1966,2006,0.0,3,4,1,3,3,3,0,0,1228,1228,1,1228,0,0,1228,0,0,1,1,3,1,2,6,0,5,1966.0,2,1,271,4,0,65,0,0,0,0,0,6,2008,4,149350,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,85.0,11049,1,3,0,8,5,2007,2007,0.0,2,4,2,0,3,0,0,0,1234,1234,1,1234,0,0,1234,0,0,2,0,3,1,2,7,0,5,2007.0,1,2,484,4,0,30,0,0,0,0,0,1,2008,4,179900,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,70.0,10552,1,0,4,5,5,1959,1959,0.0,3,4,1,3,3,3,1018,0,380,1398,1,1700,0,0,1700,0,1,1,1,4,1,2,6,1,2,1959.0,1,2,447,4,0,38,0,0,0,0,0,4,2010,4,165500,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
120,3,60.0,7313,1,3,4,9,5,2005,2005,246.0,0,4,2,0,3,3,1153,0,408,1561,1,1561,0,0,1561,1,0,2,0,2,1,0,6,1,2,2005.0,0,2,556,4,203,47,0,0,0,0,0,8,2007,4,277500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,108.0,13418,1,3,4,8,5,2004,2005,132.0,2,4,2,0,3,0,0,0,1117,1117,1,1132,1320,0,2452,0,0,3,1,4,1,2,9,1,2,2004.0,0,3,691,4,113,32,0,0,0,0,0,9,2006,4,309000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,112.0,10859,1,3,0,5,5,1994,1995,0.0,3,4,2,2,3,3,0,0,1097,1097,1,1097,0,0,1097,0,0,1,1,3,1,3,6,0,5,1995.0,2,2,672,4,392,64,0,0,0,0,0,6,2009,4,145000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,74.0,8532,1,3,4,5,6,1954,1990,650.0,3,4,1,3,3,3,1213,0,84,1297,1,1297,0,0,1297,0,1,1,0,3,1,3,5,1,4,1954.0,0,2,498,4,0,0,0,0,0,0,0,10,2009,4,153000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,68.0,7922,1,3,4,5,7,1953,2007,0.0,3,2,1,3,3,3,731,0,326,1057,1,1057,0,0,1057,1,0,1,0,3,1,2,5,0,5,1953.0,2,1,246,4,0,52,0,0,0,0,0,1,2010,0,109000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
90,3,65.0,6040,1,3,4,4,5,1955,1955,0.0,3,4,2,4,4,4,0,0,0,0,1,1152,0,0,1152,0,0,2,0,2,2,1,6,0,5,1980.0,3,0,0,5,0,0,0,0,0,0,0,6,2008,1,82000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
20,3,84.0,8658,1,3,4,6,5,1965,1965,101.0,3,4,1,3,3,3,643,0,445,1088,1,1324,0,0,1324,0,0,2,0,3,1,3,6,1,4,1965.0,1,2,440,4,0,138,0,0,0,0,0,12,2006,0,160000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,115.0,16905,1,3,4,5,6,1959,1959,0.0,3,2,1,3,3,1,967,0,383,1350,1,1328,0,0,1328,0,1,1,1,2,1,3,5,2,2,1959.0,1,1,308,4,0,104,0,0,0,0,0,7,2007,4,170000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
85,3,69.0,9180,1,0,1,5,7,1983,1983,0.0,3,4,1,2,3,0,747,93,0,840,1,884,0,0,884,1,0,1,0,2,1,2,5,0,5,1983.0,1,2,504,4,240,0,0,0,0,0,0,12,2007,4,144000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,69.0,9200,1,0,1,5,6,1975,1980,0.0,3,4,1,2,3,0,280,491,167,938,1,938,0,0,938,1,0,1,0,3,1,3,5,0,5,1977.0,2,1,308,4,145,0,0,0,0,0,0,7,2008,4,130250,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,70.0,7945,1,3,4,5,6,1959,1959,0.0,3,4,1,3,3,3,179,506,465,1150,1,1150,0,0,1150,1,0,1,0,3,1,3,6,0,5,1959.0,1,1,300,4,0,0,0,0,0,0,0,5,2006,4,141000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
120,3,61.0,7658,1,3,4,9,5,2005,2005,412.0,0,4,2,0,3,3,456,0,1296,1752,1,1752,0,0,1752,1,0,2,0,2,1,0,6,1,2,2005.0,1,2,576,4,196,82,0,0,0,0,0,2,2010,4,319900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
50,3,48.0,12822,1,0,1,7,5,2003,2003,0.0,2,4,2,0,3,3,1351,0,83,1434,1,1518,631,0,2149,1,0,1,1,1,1,2,6,1,0,2003.0,1,2,670,4,168,43,0,0,198,0,0,8,2009,0,239686,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,1,84.0,11096,1,3,4,8,5,2006,2006,0.0,2,4,2,2,3,0,24,0,1632,1656,1,1656,0,0,1656,0,0,2,0,3,1,2,7,0,5,2006.0,1,3,826,4,0,146,0,0,0,0,0,7,2007,4,249700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
190,4,33.0,4456,1,3,4,4,5,1920,2008,0.0,3,4,0,3,3,3,0,0,736,736,1,736,716,0,1452,0,0,2,0,2,3,3,8,0,5,1980.0,3,0,0,5,0,0,102,0,0,0,0,6,2009,5,113000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,3,66.0,7742,1,3,4,5,7,1966,1966,0.0,3,4,1,3,3,3,763,0,192,955,1,955,0,0,955,1,0,1,0,3,1,3,6,0,5,1966.0,2,1,386,4,0,0,0,0,0,0,0,1,2007,4,127000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,69.0,13869,1,1,0,6,6,1997,1997,0.0,3,4,2,2,3,0,182,0,612,794,1,794,676,0,1470,0,1,2,0,3,1,3,6,0,5,1997.0,0,2,388,4,0,75,0,0,0,0,0,7,2007,4,177000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
50,4,52.0,6240,1,3,4,6,6,1934,1950,0.0,3,4,2,3,3,3,0,0,816,816,1,816,0,360,1176,0,0,1,0,3,1,3,6,1,2,1985.0,2,2,528,4,112,0,0,0,0,0,400,9,2006,4,114500,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
90,4,110.0,8472,0,1,0,5,5,1963,1963,0.0,1,4,1,2,3,1,104,712,0,816,1,816,0,0,816,1,0,1,0,2,1,3,5,0,5,1963.0,2,2,516,4,106,0,0,0,0,0,0,5,2010,4,110000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
20,3,68.0,50271,1,0,4,9,5,1981,1987,0.0,2,4,1,0,3,1,1810,0,32,1842,1,1842,0,0,1842,2,0,0,1,0,1,2,5,1,2,1981.0,0,3,894,4,857,72,0,0,0,0,0,11,2006,4,385000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
80,3,60.0,7134,1,3,4,5,5,1955,1955,0.0,3,4,1,3,3,3,384,0,0,384,1,1360,0,0,1360,0,0,1,0,3,1,3,6,1,4,1962.0,2,2,572,4,0,50,0,0,0,0,0,2,2007,4,130000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,100.0,10175,1,0,4,6,5,1964,1964,272.0,3,4,1,3,3,3,490,0,935,1425,1,1425,0,0,1425,0,0,2,0,3,1,3,7,1,2,1964.0,1,2,576,4,0,0,0,407,0,0,0,7,2008,4,180500,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
160,1,24.0,2645,1,3,4,8,5,1999,2000,456.0,2,4,2,2,3,3,649,0,321,970,1,983,756,0,1739,1,0,2,1,3,1,2,7,0,5,1999.0,0,2,480,4,115,0,0,0,0,0,0,8,2009,0,172500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,89.0,11645,1,0,0,7,5,2004,2004,0.0,2,4,2,2,3,3,0,0,860,860,1,860,860,0,1720,0,0,2,1,3,1,2,7,0,5,2004.0,1,2,565,4,0,70,0,0,0,0,0,8,2006,4,196500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
60,3,66.0,13682,1,1,1,10,5,2006,2006,1031.0,0,4,2,0,3,1,0,0,1410,1410,1,1426,1519,0,2945,0,0,3,1,3,1,2,10,1,2,2006.0,0,3,641,4,192,0,37,0,0,0,0,10,2006,5,438780,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,3,60.0,7200,1,3,4,5,7,1972,1972,0.0,3,4,1,3,3,0,632,0,148,780,1,780,0,0,780,0,0,1,0,2,1,3,4,0,5,1973.0,2,1,352,4,196,0,0,0,0,0,0,1,2008,4,124900,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,3,63.0,13072,1,3,4,6,5,2004,2004,0.0,3,4,2,2,3,3,941,0,217,1158,1,1158,0,0,1158,1,0,1,1,3,1,2,5,0,5,2006.0,2,2,576,4,0,50,0,0,0,0,0,5,2006,5,158000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
75,4,60.0,7200,1,3,4,5,7,1920,1996,0.0,3,4,0,3,0,3,0,0,530,530,1,581,530,0,1111,0,0,1,0,3,1,1,6,0,5,1935.0,2,1,288,4,0,0,144,0,0,0,0,3,2007,4,101000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
